contract_text,perspective,generated_report,quality_score
"乙方应在收到甲方指令后2小时内响应，并在4小时内解决所有问题，否则每延迟一小时支付订单总额10%的违约金。","乙方","【风险点名称】响应时间及违约金比例不合理 【风险描述】4小时内解决所有问题过于绝对，且违约金比例（每小时10%）极高，可能导致违约金总额迅速超过合同总额，属于显失公平条款。【原文定位】'4小时内解决所有问题...支付订单总额10%的违约金' 【修改建议】建议将解决时间修改为合理时间内并按问题分类；将违约金修改为每延迟一日支付订单金额0.1%，并设置上限（如总额20%）。","优秀"
"本合同项下产生的所有知识产权均归甲方所有，包括乙方在履行合同前已拥有的技术成果。","乙方","【风险点名称】知识产权归属范围过广 【风险描述】条款要求将乙方履行合同前已拥有的技术成果（背景IP）也转让给甲方，严重侵犯了乙方的核心资产权益。【原文定位】'包括乙方在履行合同前已拥有的技术成果' 【修改建议】修改为：'乙方在履行本合同过程中产生的知识产权归甲方所有，但乙方在合同生效前已拥有的知识产权仍归乙方所有。甲方拥有该部分知识产权的免费使用权。'","优秀"
"甲方有权随时以书面通知形式解除本合同，且无需承担任何违约责任或支付报酬。","乙方","【风险点名称】单方随意解除权及报酬结算风险 【风险描述】甲方拥有任意解除权且不予结清已完成部分的报酬，违反了劳务公平原则，乙方面临零收益风险。【原文定位】'随时...解除...无需承担任何违约责任或支付报酬' 【修改建议】建议修改为：'甲方可提前30日书面通知解除合同，但应结算乙方已实际履行部分的报酬并赔偿乙方因此遭受的直接损失。'","优秀"
"任何一方违约给对方造成损失的，赔偿额不受限制，包括间接损失和预期利益损失。","甲方","【风险点名称】赔偿责任范围无限化风险 【风险描述】包含间接损失和预期利益损失且不受限制，这对于甲方作为业务发起方可能产生的系统性风险无法预估，极易导致巨额赔付。【原文定位】'赔偿额不受限制，包括间接损失和预期利益损失' 【修改建议】建议修改为：'任何一方的赔偿总额不得超过本合同总金额。赔偿范围仅限于直接经济损失，不包括间接损失、利润损失或商业机会损失。'","优秀"
"因本合同引起的争议，应提交甲方所在地有管辖权的人民法院诉讼解决。","乙方","【风险点名称】诉讼管辖地不利 【风险描述】约定甲方所在地管辖，增加了乙方的差旅成本和诉讼难度，属于地位对等性风险。【原文定位】'提交甲方所在地有管辖权的人民法院' 【修改建议】建议修改为：'提交合同履行地法院管辖'或'提交被告所在地法院管辖'，以确保相对公平。","优秀"
"甲方逾期支付款项超过90日的，乙方方有权停止服务，在此之前乙方必须持续提供服务。","乙方","【风险点名称】停服触发条件过严 【风险描述】必须逾期90日且此间不得停服，意味着乙方可能面临长达3个月的带资履约风险，资金周转压力极大。【原文定位】'逾期支付款项超过90日的...在此之前乙方必须持续提供服务' 【修改建议】将90日修改为15日或30日，并增加：'如甲方逾期超过30日，乙方有权暂停服务且不承担任何责任，直至甲方足额支付。'","优秀"
"本合同自双方签字盖章之日起生效，有效期为永久，除非双方协商一致终止。","甲方","【风险点名称】合同期限风险 【风险描述】约定永久有效且单方不可解除，这使得甲方陷入无法摆脱长期合同的困境，缺乏退出机制。【原文定位】'有效期为永久，除非双方协商一致终止' 【修改建议】建议明确合同期限（如2年），并增加退出条款：'任何一方可提前6个月通知对方终止本合同。'","优秀"
"乙方应当对合同内容保守秘密。如发生泄密，无论是否因乙方过错引起，乙方均需赔偿甲方500万元。","乙方","【风险点名称】归责原则不合理及违约金过高 【风险描述】采用无过错责任且定额赔偿500万（可能远超实际损失），对乙方责任分配极不均衡。【原文定位】'无论是否因乙方过错引起，乙方均需赔偿甲方500万元' 【修改建议】修改为：'因乙方疏忽或故意导致的泄密...乙方应按实际损失承担赔偿责任'，并设定赔偿上限。","优秀"
"乙方应在收到甲方指令后2小时内响应，并在4小时内解决所有问题，否则每延迟一小时支付订单总额10%的违约金。","乙方","这个条款存在时间要求过严和违约金过高的问题。","不合格"
"本合同项下产生的所有知识产权均归甲方所有，包括乙方在履行合同前已拥有的技术成果。","乙方","【风险点名称】知识产权问题 【风险描述】知识产权归属不清晰。【修改建议】建议重新协商。","不合格"
"甲方有权随时以书面通知形式解除本合同，且无需承担任何违约责任或支付报酬。","乙方","【风险点名称】合同解除风险 【风险描述】甲方可以随时解除合同，对乙方不利。【原文定位】整个条款 【修改建议】应该限制甲方的解除权。","差"
